GEO UID,ProvCode,ProvNom,CDcode,CDnom,DAnom,Total,Car,Public,Walk,Bike,Other
2458,24,Quebec,58,Longueuil,0,150395,117870,21135,6720,2265,2405
24580001,24,Quebec,58,Longueuil,1,115,95,10,10,0,0
24580002,24,Quebec,58,Longueuil,2,125,105,10,0,0,0
24580003,24,Quebec,58,Longueuil,3,180,150,25,10,0,0
24580004,24,Quebec,58,Longueuil,4,130,105,20,0,0,0
24580005,24,Quebec,58,Longueuil,5,400,320,45,30,0,0
24580006,24,Quebec,58,Longueuil,6,255,205,35,10,0,0
24580007,24,Quebec,58,Longueuil,7,175,145,20,10,0,0
24580008,24,Quebec,58,Longueuil,8,275,215,50,15,0,0
24580009,24,Quebec,58,Longueuil,9,190,160,20,0,0,0
24580010,24,Quebec,58,Longueuil,10,365,275,50,20,10,0
24580011,24,Quebec,58,Longueuil,11,210,185,20,0,0,0
24580012,24,Quebec,58,Longueuil,12,265,185,75,0,0,0
24580013,24,Quebec,58,Longueuil,13,115,95,10,0,0,0
24580014,24,Quebec,58,Longueuil,14,300,280,10,0,0,0
24580015,24,Quebec,58,Longueuil,15,260,245,10,0,0,0
24580016,24,Quebec,58,Longueuil,16,285,230,40,0,0,0
24580017,24,Quebec,58,Longueuil,17,275,240,35,0,0,0
24580018,24,Quebec,58,Longueuil,18,150,120,10,0,15,0
24580019,24,Quebec,58,Longueuil,19,160,140,25,0,0,0
24580020,24,Quebec,58,Longueuil,20,80,60,20,0,0,0
24580021,24,Quebec,58,Longueuil,21,135,90,15,10,0,15
24580022,24,Quebec,58,Longueuil,22,195,145,25,15,10,0
24580023,24,Quebec,58,Longueuil,23,225,185,20,0,10,10
24580024,24,Quebec,58,Longueuil,24,175,145,20,10,0,0
24580025,24,Quebec,58,Longueuil,25,75,55,15,0,0,0
24580026,24,Quebec,58,Longueuil,26,290,175,80,25,0,0
24580027,24,Quebec,58,Longueuil,27,160,120,20,10,0,10
24580028,24,Quebec,58,Longueuil,28,205,140,30,20,10,0
24580029,24,Quebec,58,Longueuil,29,85,60,20,0,0,0
24580030,24,Quebec,58,Longueuil,30,80,60,20,0,0,0
24580031,24,Quebec,58,Longueuil,31,80,45,0,10,0,0
24580032,24,Quebec,58,Longueuil,32,165,115,25,20,0,0
24580033,24,Quebec,58,Longueuil,33,150,95,15,20,0,15
24580034,24,Quebec,58,Longueuil,34,150,85,30,20,0,10
24580035,24,Quebec,58,Longueuil,35,110,55,30,0,10,0
24580036,24,Quebec,58,Longueuil,36,185,120,35,10,10,10
24580037,24,Quebec,58,Longueuil,37,130,70,45,10,0,0
24580038,24,Quebec,58,Longueuil,38,110,70,10,20,20,0
24580039,24,Quebec,58,Longueuil,39,280,205,45,0,15,0
24580040,24,Quebec,58,Longueuil,40,250,180,45,25,0,0
24580041,24,Quebec,58,Longueuil,41,160,110,25,15,15,0
24580042,24,Quebec,58,Longueuil,42,195,125,40,10,0,15
24580043,24,Quebec,58,Longueuil,43,235,185,30,10,10,0
24580044,24,Quebec,58,Longueuil,44,250,170,65,0,0,0
24580045,24,Quebec,58,Longueuil,45,260,195,55,0,0,10
24580046,24,Quebec,58,Longueuil,46,195,115,50,15,0,15
24580047,24,Quebec,58,Longueuil,47,200,140,20,10,10,15
24580048,24,Quebec,58,Longueuil,48,195,160,20,0,10,0
24580049,24,Quebec,58,Longueuil,49,220,165,40,15,0,0
24580050,24,Quebec,58,Longueuil,50,170,120,30,15,0,0
24580051,24,Quebec,58,Longueuil,51,330,250,65,10,0,0
24580052,24,Quebec,58,Longueuil,52,160,140,20,0,0,0
24580053,24,Quebec,58,Longueuil,53,255,215,30,15,0,0
24580054,24,Quebec,58,Longueuil,54,180,160,10,0,0,0
24580055,24,Quebec,58,Longueuil,55,150,120,25,0,0,0
24580056,24,Quebec,58,Longueuil,56,190,135,40,0,15,0
24580057,24,Quebec,58,Longueuil,57,285,195,50,20,10,10
24580058,24,Quebec,58,Longueuil,58,205,130,70,0,0,0
24580059,24,Quebec,58,Longueuil,59,185,115,35,10,20,0
24580060,24,Quebec,58,Longueuil,60,120,65,40,0,0,0
24580061,24,Quebec,58,Longueuil,61,175,125,25,15,10,0
24580062,24,Quebec,58,Longueuil,62,165,105,35,10,10,0
24580063,24,Quebec,58,Longueuil,63,200,125,45,20,0,0
24580064,24,Quebec,58,Longueuil,64,190,150,15,20,10,0
24580065,24,Quebec,58,Longueuil,65,155,105,30,15,10,0
24580066,24,Quebec,58,Longueuil,66,175,135,25,10,0,0
24580067,24,Quebec,58,Longueuil,67,215,150,50,15,0,0
24580068,24,Quebec,58,Longueuil,68,240,160,65,20,0,0
24580069,24,Quebec,58,Longueuil,69,255,205,15,15,0,15
24580070,24,Quebec,58,Longueuil,70,200,165,20,0,10,0
24580071,24,Quebec,58,Longueuil,71,215,165,30,0,0,10
24580072,24,Quebec,58,Longueuil,72,290,220,55,10,10,0
24580073,24,Quebec,58,Longueuil,73,205,145,30,20,0,0
24580074,24,Quebec,58,Longueuil,74,205,155,25,20,0,0
24580075,24,Quebec,58,Longueuil,75,165,105,35,20,0,0
24580076,24,Quebec,58,Longueuil,76,185,130,30,15,10,0
24580077,24,Quebec,58,Longueuil,77,255,190,40,20,0,0
24580078,24,Quebec,58,Longueuil,78,240,175,45,0,10,0
24580079,24,Quebec,58,Longueuil,79,155,115,35,0,0,0
24580080,24,Quebec,58,Longueuil,80,270,165,80,25,0,0
24580081,24,Quebec,58,Longueuil,81,225,140,80,0,0,0
24580082,24,Quebec,58,Longueuil,82,150,100,35,15,0,0
24580083,24,Quebec,58,Longueuil,83,195,140,40,15,0,0
24580084,24,Quebec,58,Longueuil,84,200,150,50,0,0,0
24580085,24,Quebec,58,Longueuil,85,205,155,35,0,10,0
24580087,24,Quebec,58,Longueuil,87,170,145,15,10,0,0
24580088,24,Quebec,58,Longueuil,88,275,165,90,10,0,0
24580089,24,Quebec,58,Longueuil,89,160,125,30,0,0,0
24580090,24,Quebec,58,Longueuil,90,135,95,35,0,0,0
24580091,24,Quebec,58,Longueuil,91,220,170,40,0,0,0
24580092,24,Quebec,58,Longueuil,92,180,120,50,0,0,10
24580093,24,Quebec,58,Longueuil,93,135,95,20,15,0,0
24580094,24,Quebec,58,Longueuil,94,155,95,50,0,0,0
24580095,24,Quebec,58,Longueuil,95,255,180,50,25,0,0
24580096,24,Quebec,58,Longueuil,96,170,125,35,10,0,0
24580097,24,Quebec,58,Longueuil,97,335,235,85,15,0,0
24580098,24,Quebec,58,Longueuil,98,265,230,10,15,10,0
24580099,24,Quebec,58,Longueuil,99,200,160,35,0,0,0
24580100,24,Quebec,58,Longueuil,100,260,205,35,10,0,10
24580101,24,Quebec,58,Longueuil,101,285,220,50,20,0,0
24580102,24,Quebec,58,Longueuil,102,165,140,25,0,0,0
24580103,24,Quebec,58,Longueuil,103,230,165,25,25,10,0
24580104,24,Quebec,58,Longueuil,104,225,205,25,0,0,0
24580105,24,Quebec,58,Longueuil,105,230,170,40,20,0,0
24580106,24,Quebec,58,Longueuil,106,165,110,40,0,0,0
24580107,24,Quebec,58,Longueuil,107,120,70,35,0,0,0
24580108,24,Quebec,58,Longueuil,108,185,160,25,0,0,0
24580109,24,Quebec,58,Longueuil,109,200,110,80,0,0,0
24580110,24,Quebec,58,Longueuil,110,260,165,75,10,10,0
24580112,24,Quebec,58,Longueuil,112,195,120,65,10,0,0
24580113,24,Quebec,58,Longueuil,113,195,120,60,0,0,0
24580114,24,Quebec,58,Longueuil,114,285,200,60,15,0,0
24580115,24,Quebec,58,Longueuil,115,190,130,35,0,0,15
24580116,24,Quebec,58,Longueuil,116,135,125,10,0,0,0
24580117,24,Quebec,58,Longueuil,117,210,165,30,15,0,0
24580118,24,Quebec,58,Longueuil,118,210,155,50,10,0,0
24580119,24,Quebec,58,Longueuil,119,215,185,25,0,0,0
24580120,24,Quebec,58,Longueuil,120,160,145,15,0,0,0
24580121,24,Quebec,58,Longueuil,121,250,165,75,10,0,0
24580122,24,Quebec,58,Longueuil,122,185,125,45,15,0,0
24580123,24,Quebec,58,Longueuil,123,195,135,55,10,0,0
24580124,24,Quebec,58,Longueuil,124,190,140,35,10,10,0
24580125,24,Quebec,58,Longueuil,125,195,140,40,0,0,0
24580126,24,Quebec,58,Longueuil,126,160,115,30,0,0,0
24580127,24,Quebec,58,Longueuil,127,200,120,60,10,0,0
24580128,24,Quebec,58,Longueuil,128,230,145,65,15,0,0
24580132,24,Quebec,58,Longueuil,132,230,130,80,15,0,0
24580134,24,Quebec,58,Longueuil,134,210,135,50,25,0,0
24580135,24,Quebec,58,Longueuil,135,255,155,60,20,0,10
24580136,24,Quebec,58,Longueuil,136,125,60,50,15,0,0
24580137,24,Quebec,58,Longueuil,137,150,90,35,25,0,0
24580138,24,Quebec,58,Longueuil,138,280,170,55,40,0,15
24580139,24,Quebec,58,Longueuil,139,160,105,25,15,0,10
24580140,24,Quebec,58,Longueuil,140,240,180,35,20,0,0
24580141,24,Quebec,58,Longueuil,141,225,165,35,20,0,0
24580142,24,Quebec,58,Longueuil,142,210,110,50,30,15,10
24580143,24,Quebec,58,Longueuil,143,215,155,40,20,0,0
24580144,24,Quebec,58,Longueuil,144,260,150,95,10,0,0
24580145,24,Quebec,58,Longueuil,145,115,85,10,10,10,0
24580146,24,Quebec,58,Longueuil,146,130,100,15,15,0,0
24580147,24,Quebec,58,Longueuil,147,140,110,25,0,15,0
24580148,24,Quebec,58,Longueuil,148,135,70,45,15,10,0
24580149,24,Quebec,58,Longueuil,149,125,75,10,20,0,10
24580150,24,Quebec,58,Longueuil,150,160,110,10,10,15,15
24580151,24,Quebec,58,Longueuil,151,150,50,45,30,0,15
24580152,24,Quebec,58,Longueuil,152,125,80,25,0,10,0
24580153,24,Quebec,58,Longueuil,153,115,80,10,10,0,10
24580154,24,Quebec,58,Longueuil,154,125,85,10,10,10,0
24580155,24,Quebec,58,Longueuil,155,95,60,30,0,0,0
24580156,24,Quebec,58,Longueuil,156,195,100,55,25,0,10
24580157,24,Quebec,58,Longueuil,157,200,130,20,25,20,0
24580158,24,Quebec,58,Longueuil,158,160,95,15,35,0,0
24580159,24,Quebec,58,Longueuil,159,120,90,15,0,0,0
24580160,24,Quebec,58,Longueuil,160,145,90,20,25,0,10
24580162,24,Quebec,58,Longueuil,162,175,85,25,45,10,10
24580163,24,Quebec,58,Longueuil,163,170,100,25,35,0,0
24580164,24,Quebec,58,Longueuil,164,295,215,50,30,0,0
24580165,24,Quebec,58,Longueuil,165,265,185,60,10,0,0
24580166,24,Quebec,58,Longueuil,166,210,165,20,15,0,0
24580167,24,Quebec,58,Longueuil,167,80,65,0,0,0,0
24580168,24,Quebec,58,Longueuil,168,175,140,20,0,10,0
24580169,24,Quebec,58,Longueuil,169,210,145,35,20,10,15
24580170,24,Quebec,58,Longueuil,170,190,90,55,40,10,0
24580171,24,Quebec,58,Longueuil,171,190,135,25,25,0,0
24580172,24,Quebec,58,Longueuil,172,170,145,20,0,0,0
24580173,24,Quebec,58,Longueuil,173,145,130,10,0,0,0
24580174,24,Quebec,58,Longueuil,174,190,160,20,0,0,0
24580175,24,Quebec,58,Longueuil,175,125,90,25,10,0,0
24580176,24,Quebec,58,Longueuil,176,110,75,20,10,0,0
24580177,24,Quebec,58,Longueuil,177,165,110,25,10,10,0
24580178,24,Quebec,58,Longueuil,178,160,125,15,10,0,0
24580179,24,Quebec,58,Longueuil,179,175,150,30,0,0,0
24580180,24,Quebec,58,Longueuil,180,165,125,20,20,0,0
24580181,24,Quebec,58,Longueuil,181,245,175,15,45,0,0
24580182,24,Quebec,58,Longueuil,182,190,150,15,20,0,0
24580183,24,Quebec,58,Longueuil,183,240,185,25,10,0,10
24580184,24,Quebec,58,Longueuil,184,375,320,40,10,0,10
24580185,24,Quebec,58,Longueuil,185,175,140,30,10,0,0
24580186,24,Quebec,58,Longueuil,186,225,195,20,0,0,10
24580187,24,Quebec,58,Longueuil,187,235,180,45,0,0,0
24580188,24,Quebec,58,Longueuil,188,115,105,10,0,0,0
24580189,24,Quebec,58,Longueuil,189,170,160,10,0,0,0
24580190,24,Quebec,58,Longueuil,190,210,175,20,0,0,0
24580191,24,Quebec,58,Longueuil,191,245,190,50,0,0,0
24580192,24,Quebec,58,Longueuil,192,255,230,15,0,0,0
24580193,24,Quebec,58,Longueuil,193,175,125,35,0,0,0
24580194,24,Quebec,58,Longueuil,194,295,240,35,20,0,0
24580195,24,Quebec,58,Longueuil,195,205,175,25,0,0,0
24580196,24,Quebec,58,Longueuil,196,200,150,30,15,0,0
24580197,24,Quebec,58,Longueuil,197,235,205,10,20,0,0
24580198,24,Quebec,58,Longueuil,198,205,170,20,10,0,10
24580199,24,Quebec,58,Longueuil,199,320,245,55,15,0,0
24580200,24,Quebec,58,Longueuil,200,275,240,30,0,0,0
24580201,24,Quebec,58,Longueuil,201,200,145,25,10,10,0
24580202,24,Quebec,58,Longueuil,202,250,185,40,15,0,0
24580203,24,Quebec,58,Longueuil,203,75,65,10,10,0,0
24580204,24,Quebec,58,Longueuil,204,220,160,35,25,0,0
24580205,24,Quebec,58,Longueuil,205,305,195,80,25,0,0
24580206,24,Quebec,58,Longueuil,206,250,180,50,0,0,10
24580207,24,Quebec,58,Longueuil,207,260,160,35,55,0,0
24580208,24,Quebec,58,Longueuil,208,425,340,40,30,0,0
24580209,24,Quebec,58,Longueuil,209,145,100,15,30,0,0
24580210,24,Quebec,58,Longueuil,210,225,130,45,55,0,0
24580211,24,Quebec,58,Longueuil,211,265,220,30,15,0,0
24580212,24,Quebec,58,Longueuil,212,305,235,50,10,0,15
24580213,24,Quebec,58,Longueuil,213,210,185,25,0,0,0
24580214,24,Quebec,58,Longueuil,214,265,200,40,15,0,0
24580215,24,Quebec,58,Longueuil,215,240,185,45,10,0,0
24580216,24,Quebec,58,Longueuil,216,265,225,35,10,0,0
24580217,24,Quebec,58,Longueuil,217,150,130,15,10,0,0
24580218,24,Quebec,58,Longueuil,218,160,135,30,0,0,0
24580219,24,Quebec,58,Longueuil,219,200,165,25,10,0,0
24580220,24,Quebec,58,Longueuil,220,240,165,65,15,0,0
24580221,24,Quebec,58,Longueuil,221,245,175,50,0,10,0
24580222,24,Quebec,58,Longueuil,222,140,100,30,0,0,0
24580223,24,Quebec,58,Longueuil,223,125,90,15,10,0,0
24580224,24,Quebec,58,Longueuil,224,155,130,15,15,0,0
24580225,24,Quebec,58,Longueuil,225,170,130,45,0,0,0
24580226,24,Quebec,58,Longueuil,226,335,215,95,20,0,0
24580229,24,Quebec,58,Longueuil,229,240,175,45,15,0,0
24580232,24,Quebec,58,Longueuil,232,220,110,95,15,0,0
24580234,24,Quebec,58,Longueuil,234,285,230,45,0,0,0
24580235,24,Quebec,58,Longueuil,235,130,105,10,0,0,0
24580237,24,Quebec,58,Longueuil,237,230,210,20,0,0,0
24580238,24,Quebec,58,Longueuil,238,475,360,85,25,0,0
24580239,24,Quebec,58,Longueuil,239,260,215,30,0,0,0
24580240,24,Quebec,58,Longueuil,240,85,75,15,0,0,0
24580241,24,Quebec,58,Longueuil,241,140,90,35,0,0,10
24580242,24,Quebec,58,Longueuil,242,125,70,40,10,0,0
24580243,24,Quebec,58,Longueuil,243,190,150,25,10,0,0
24580244,24,Quebec,58,Longueuil,244,225,170,40,0,15,0
24580246,24,Quebec,58,Longueuil,246,130,105,15,0,10,0
24580247,24,Quebec,58,Longueuil,247,150,140,10,0,0,0
24580248,24,Quebec,58,Longueuil,248,240,200,25,0,10,0
24580249,24,Quebec,58,Longueuil,249,185,150,25,15,0,0
24580250,24,Quebec,58,Longueuil,250,165,155,10,0,0,0
24580251,24,Quebec,58,Longueuil,251,150,115,20,10,0,10
24580252,24,Quebec,58,Longueuil,252,135,85,30,20,0,0
24580253,24,Quebec,58,Longueuil,253,130,100,20,0,0,0
24580254,24,Quebec,58,Longueuil,254,195,140,30,20,0,0
24580255,24,Quebec,58,Longueuil,255,130,70,40,10,10,0
24580256,24,Quebec,58,Longueuil,256,215,150,15,50,0,0
24580257,24,Quebec,58,Longueuil,257,190,155,15,25,0,0
24580258,24,Quebec,58,Longueuil,258,205,130,55,20,0,0
24580259,24,Quebec,58,Longueuil,259,190,120,45,15,0,10
24580260,24,Quebec,58,Longueuil,260,210,140,40,20,10,0
24580261,24,Quebec,58,Longueuil,261,155,120,15,0,0,0
24580262,24,Quebec,58,Longueuil,262,400,265,65,50,10,0
24580263,24,Quebec,58,Longueuil,263,180,140,25,0,0,10
24580264,24,Quebec,58,Longueuil,264,265,165,60,25,0,20
24580265,24,Quebec,58,Longueuil,265,345,285,40,20,0,0
24580266,24,Quebec,58,Longueuil,266,195,140,55,0,0,0
