GEO ID,Province Code,City,Total,Motorized,Public,Active
2458,24,Longueuil,150395.0,117870.0,21135.0,8985.0
24580001,24,Longueuil,115.0,95.0,10.0,10.0
24580002,24,Longueuil,125.0,105.0,10.0,0.0
24580003,24,Longueuil,180.0,150.0,25.0,10.0
24580004,24,Longueuil,130.0,105.0,20.0,0.0
24580005,24,Longueuil,400.0,320.0,45.0,30.0
24580006,24,Longueuil,255.0,205.0,35.0,10.0
24580007,24,Longueuil,175.0,145.0,20.0,10.0
24580008,24,Longueuil,275.0,215.0,50.0,15.0
24580009,24,Longueuil,190.0,160.0,20.0,0.0
24580010,24,Longueuil,365.0,275.0,50.0,30.0
24580011,24,Longueuil,210.0,185.0,20.0,0.0
24580012,24,Longueuil,265.0,185.0,75.0,0.0
24580013,24,Longueuil,115.0,95.0,10.0,0.0
24580014,24,Longueuil,300.0,280.0,10.0,0.0
24580015,24,Longueuil,260.0,245.0,10.0,0.0
24580016,24,Longueuil,285.0,230.0,40.0,0.0
24580017,24,Longueuil,275.0,240.0,35.0,0.0
24580018,24,Longueuil,150.0,120.0,10.0,15.0
24580019,24,Longueuil,160.0,140.0,25.0,0.0
24580020,24,Longueuil,80.0,60.0,20.0,0.0
24580021,24,Longueuil,135.0,90.0,15.0,10.0
24580022,24,Longueuil,195.0,145.0,25.0,25.0
24580023,24,Longueuil,225.0,185.0,20.0,10.0
24580024,24,Longueuil,175.0,145.0,20.0,10.0
24580025,24,Longueuil,75.0,55.0,15.0,0.0
24580026,24,Longueuil,290.0,175.0,80.0,25.0
24580027,24,Longueuil,160.0,120.0,20.0,10.0
24580028,24,Longueuil,205.0,140.0,30.0,30.0
24580029,24,Longueuil,85.0,60.0,20.0,0.0
24580030,24,Longueuil,80.0,60.0,20.0,0.0
24580031,24,Longueuil,80.0,45.0,0.0,10.0
24580032,24,Longueuil,165.0,115.0,25.0,20.0
24580033,24,Longueuil,150.0,95.0,15.0,20.0
24580034,24,Longueuil,150.0,85.0,30.0,20.0
24580035,24,Longueuil,110.0,55.0,30.0,10.0
24580036,24,Longueuil,185.0,120.0,35.0,20.0
24580037,24,Longueuil,130.0,70.0,45.0,10.0
24580038,24,Longueuil,110.0,70.0,10.0,40.0
24580039,24,Longueuil,280.0,205.0,45.0,15.0
24580040,24,Longueuil,250.0,180.0,45.0,25.0
24580041,24,Longueuil,160.0,110.0,25.0,30.0
24580042,24,Longueuil,195.0,125.0,40.0,10.0
24580043,24,Longueuil,235.0,185.0,30.0,20.0
24580044,24,Longueuil,250.0,170.0,65.0,0.0
24580045,24,Longueuil,260.0,195.0,55.0,0.0
24580046,24,Longueuil,195.0,115.0,50.0,15.0
24580047,24,Longueuil,200.0,140.0,20.0,20.0
24580048,24,Longueuil,195.0,160.0,20.0,10.0
24580049,24,Longueuil,220.0,165.0,40.0,15.0
24580050,24,Longueuil,170.0,120.0,30.0,15.0
24580051,24,Longueuil,330.0,250.0,65.0,10.0
24580052,24,Longueuil,160.0,140.0,20.0,0.0
24580053,24,Longueuil,255.0,215.0,30.0,15.0
24580054,24,Longueuil,180.0,160.0,10.0,0.0
24580055,24,Longueuil,150.0,120.0,25.0,0.0
24580056,24,Longueuil,190.0,135.0,40.0,15.0
24580057,24,Longueuil,285.0,195.0,50.0,30.0
24580058,24,Longueuil,205.0,130.0,70.0,0.0
24580059,24,Longueuil,185.0,115.0,35.0,30.0
24580060,24,Longueuil,120.0,65.0,40.0,0.0
24580061,24,Longueuil,175.0,125.0,25.0,25.0
24580062,24,Longueuil,165.0,105.0,35.0,20.0
24580063,24,Longueuil,200.0,125.0,45.0,20.0
24580064,24,Longueuil,190.0,150.0,15.0,30.0
24580065,24,Longueuil,155.0,105.0,30.0,25.0
24580066,24,Longueuil,175.0,135.0,25.0,10.0
24580067,24,Longueuil,215.0,150.0,50.0,15.0
24580068,24,Longueuil,240.0,160.0,65.0,20.0
24580069,24,Longueuil,255.0,205.0,15.0,15.0
24580070,24,Longueuil,200.0,165.0,20.0,10.0
24580071,24,Longueuil,215.0,165.0,30.0,0.0
24580072,24,Longueuil,290.0,220.0,55.0,20.0
24580073,24,Longueuil,205.0,145.0,30.0,20.0
24580074,24,Longueuil,205.0,155.0,25.0,20.0
24580075,24,Longueuil,165.0,105.0,35.0,20.0
24580076,24,Longueuil,185.0,130.0,30.0,25.0
24580077,24,Longueuil,255.0,190.0,40.0,20.0
