GEO ID,Province Code,City,Total,Motorized,Public,Active
5915,59,Greater Vancouver,978560.0,731155.0,146055.0,80660.0
59150004,59,Greater Vancouver,105.0,95.0,0.0,0.0
59150005,59,Greater Vancouver,175.0,140.0,15.0,15.0
59150006,59,Greater Vancouver,155.0,115.0,0.0,10.0
59150007,59,Greater Vancouver,165.0,145.0,0.0,0.0
59150008,59,Greater Vancouver,160.0,145.0,0.0,10.0
59150009,59,Greater Vancouver,75.0,65.0,0.0,10.0
59150010,59,Greater Vancouver,265.0,240.0,10.0,15.0
59150012,59,Greater Vancouver,135.0,120.0,10.0,0.0
59150013,59,Greater Vancouver,70.0,60.0,0.0,0.0
59150014,59,Greater Vancouver,315.0,295.0,10.0,0.0
59150015,59,Greater Vancouver,145.0,115.0,0.0,20.0
59150016,59,Greater Vancouver,75.0,45.0,15.0,0.0
59150017,59,Greater Vancouver,40.0,40.0,0.0,0.0
59150018,59,Greater Vancouver,70.0,55.0,0.0,10.0
59150019,59,Greater Vancouver,110.0,85.0,10.0,0.0
59150020,59,Greater Vancouver,100.0,90.0,0.0,10.0
59150021,59,Greater Vancouver,85.0,80.0,0.0,0.0
59150022,59,Greater Vancouver,75.0,65.0,0.0,0.0
59150023,59,Greater Vancouver,85.0,75.0,0.0,0.0
59150024,59,Greater Vancouver,25.0,25.0,0.0,0.0
59150025,59,Greater Vancouver,160.0,125.0,10.0,25.0
59150027,59,Greater Vancouver,105.0,60.0,20.0,10.0
59150028,59,Greater Vancouver,60.0,40.0,10.0,0.0
59150029,59,Greater Vancouver,55.0,50.0,0.0,0.0
59150030,59,Greater Vancouver,120.0,90.0,15.0,0.0
59150031,59,Greater Vancouver,195.0,145.0,15.0,15.0
59150032,59,Greater Vancouver,85.0,70.0,0.0,10.0
59150033,59,Greater Vancouver,110.0,90.0,15.0,0.0
59150034,59,Greater Vancouver,95.0,65.0,10.0,0.0
59150035,59,Greater Vancouver,200.0,180.0,0.0,0.0
59150036,59,Greater Vancouver,80.0,60.0,10.0,0.0
59150037,59,Greater Vancouver,140.0,105.0,0.0,20.0
59150038,59,Greater Vancouver,55.0,35.0,0.0,10.0
59150039,59,Greater Vancouver,65.0,60.0,0.0,0.0
59150040,59,Greater Vancouver,40.0,30.0,0.0,10.0
59150041,59,Greater Vancouver,125.0,100.0,0.0,25.0
59150042,59,Greater Vancouver,95.0,85.0,0.0,0.0
59150043,59,Greater Vancouver,165.0,85.0,30.0,45.0
59150044,59,Greater Vancouver,255.0,145.0,75.0,30.0
59150045,59,Greater Vancouver,180.0,85.0,40.0,45.0
59150046,59,Greater Vancouver,90.0,70.0,20.0,0.0
59150047,59,Greater Vancouver,95.0,65.0,20.0,10.0
59150048,59,Greater Vancouver,140.0,110.0,10.0,10.0
59150049,59,Greater Vancouver,150.0,110.0,0.0,0.0
59150050,59,Greater Vancouver,120.0,110.0,0.0,0.0
59150051,59,Greater Vancouver,90.0,80.0,0.0,0.0
59150052,59,Greater Vancouver,90.0,70.0,10.0,10.0
59150053,59,Greater Vancouver,130.0,110.0,15.0,0.0
59150054,59,Greater Vancouver,205.0,155.0,0.0,25.0
59150055,59,Greater Vancouver,125.0,100.0,10.0,20.0
59150056,59,Greater Vancouver,210.0,130.0,30.0,60.0
59150059,59,Greater Vancouver,180.0,135.0,20.0,10.0
59150062,59,Greater Vancouver,115.0,95.0,10.0,0.0
59150064,59,Greater Vancouver,210.0,105.0,70.0,35.0
59150067,59,Greater Vancouver,200.0,145.0,25.0,20.0
59150068,59,Greater Vancouver,240.0,160.0,50.0,20.0
59150069,59,Greater Vancouver,155.0,100.0,40.0,10.0
59150070,59,Greater Vancouver,85.0,75.0,0.0,10.0
59150071,59,Greater Vancouver,110.0,95.0,0.0,0.0
59150072,59,Greater Vancouver,570.0,370.0,105.0,85.0
59150073,59,Greater Vancouver,430.0,310.0,75.0,45.0
59150074,59,Greater Vancouver,315.0,210.0,35.0,55.0
59150075,59,Greater Vancouver,130.0,95.0,10.0,20.0
59150076,59,Greater Vancouver,150.0,95.0,20.0,30.0
59150077,59,Greater Vancouver,120.0,85.0,20.0,0.0
59150078,59,Greater Vancouver,230.0,160.0,45.0,20.0
59150079,59,Greater Vancouver,205.0,150.0,25.0,15.0
59150080,59,Greater Vancouver,105.0,75.0,15.0,10.0
59150081,59,Greater Vancouver,220.0,145.0,15.0,55.0
59150082,59,Greater Vancouver,200.0,115.0,40.0,30.0
59150083,59,Greater Vancouver,180.0,130.0,30.0,10.0
59150084,59,Greater Vancouver,295.0,180.0,25.0,75.0
59150085,59,Greater Vancouver,350.0,220.0,60.0,65.0
59150086,59,Greater Vancouver,365.0,200.0,90.0,60.0
59150087,59,Greater Vancouver,265.0,115.0,80.0,60.0
59150088,59,Greater Vancouver,160.0,90.0,40.0,25.0
59150089,59,Greater Vancouver,195.0,85.0,50.0,45.0
59150090,59,Greater Vancouver,235.0,155.0,40.0,40.0
59150091,59,Greater Vancouver,415.0,275.0,70.0,60.0
59150092,59,Greater Vancouver,270.0,160.0,70.0,35.0
59150093,59,Greater Vancouver,190.0,115.0,25.0,40.0
59150094,59,Greater Vancouver,290.0,190.0,40.0,40.0
59150095,59,Greater Vancouver,165.0,115.0,15.0,30.0
59150096,59,Greater Vancouver,150.0,115.0,10.0,25.0
59150097,59,Greater Vancouver,210.0,155.0,15.0,35.0
59150098,59,Greater Vancouver,180.0,130.0,30.0,25.0
59150099,59,Greater Vancouver,305.0,235.0,40.0,25.0
59150100,59,Greater Vancouver,295.0,215.0,40.0,30.0
59150101,59,Greater Vancouver,110.0,85.0,0.0,0.0
59150102,59,Greater Vancouver,150.0,130.0,0.0,0.0
59150103,59,Greater Vancouver,185.0,125.0,20.0,20.0
59150104,59,Greater Vancouver,100.0,95.0,0.0,0.0
59150105,59,Greater Vancouver,140.0,95.0,15.0,25.0
59150106,59,Greater Vancouver,205.0,145.0,20.0,20.0
59150107,59,Greater Vancouver,165.0,115.0,25.0,0.0
59150108,59,Greater Vancouver,70.0,65.0,0.0,0.0
59150109,59,Greater Vancouver,135.0,115.0,0.0,0.0
59150110,59,Greater Vancouver,130.0,110.0,0.0,20.0
59150111,59,Greater Vancouver,170.0,135.0,15.0,10.0
59150112,59,Greater Vancouver,275.0,215.0,15.0,25.0
59150113,59,Greater Vancouver,275.0,200.0,60.0,0.0
59150114,59,Greater Vancouver,145.0,115.0,15.0,15.0
59150115,59,Greater Vancouver,80.0,45.0,15.0,10.0
59150116,59,Greater Vancouver,140.0,110.0,0.0,20.0
59150117,59,Greater Vancouver,160.0,135.0,10.0,15.0
59150118,59,Greater Vancouver,155.0,120.0,0.0,0.0
59150119,59,Greater Vancouver,140.0,90.0,20.0,20.0
59150120,59,Greater Vancouver,265.0,240.0,20.0,0.0
59150121,59,Greater Vancouver,155.0,135.0,15.0,0.0
59150122,59,Greater Vancouver,190.0,130.0,40.0,10.0
59150123,59,Greater Vancouver,250.0,190.0,25.0,0.0
59150124,59,Greater Vancouver,320.0,255.0,30.0,25.0
59150125,59,Greater Vancouver,190.0,170.0,15.0,0.0
59150126,59,Greater Vancouver,215.0,175.0,15.0,0.0
59150127,59,Greater Vancouver,265.0,235.0,25.0,0.0
59150129,59,Greater Vancouver,160.0,155.0,0.0,0.0
59150130,59,Greater Vancouver,240.0,185.0,25.0,20.0
59150131,59,Greater Vancouver,155.0,120.0,15.0,0.0
59150132,59,Greater Vancouver,215.0,200.0,15.0,0.0
59150133,59,Greater Vancouver,180.0,150.0,10.0,0.0
59150134,59,Greater Vancouver,135.0,105.0,15.0,0.0
59150135,59,Greater Vancouver,175.0,165.0,10.0,0.0
59150136,59,Greater Vancouver,175.0,115.0,30.0,10.0
59150137,59,Greater Vancouver,160.0,125.0,0.0,25.0
59150140,59,Greater Vancouver,215.0,165.0,25.0,25.0
59150141,59,Greater Vancouver,530.0,405.0,70.0,50.0
59150142,59,Greater Vancouver,150.0,120.0,10.0,10.0
59150143,59,Greater Vancouver,220.0,190.0,20.0,15.0
59150145,59,Greater Vancouver,270.0,230.0,10.0,15.0
59150146,59,Greater Vancouver,160.0,145.0,0.0,20.0
59150147,59,Greater Vancouver,155.0,135.0,15.0,10.0
59150148,59,Greater Vancouver,70.0,45.0,0.0,10.0
59150152,59,Greater Vancouver,390.0,285.0,75.0,35.0
59150153,59,Greater Vancouver,220.0,155.0,25.0,30.0
59150157,59,Greater Vancouver,110.0,95.0,0.0,20.0
59150158,59,Greater Vancouver,210.0,170.0,15.0,15.0
59150159,59,Greater Vancouver,205.0,170.0,10.0,25.0
59150160,59,Greater Vancouver,240.0,175.0,20.0,30.0
59150161,59,Greater Vancouver,180.0,165.0,0.0,0.0
59150162,59,Greater Vancouver,140.0,115.0,0.0,10.0
59150163,59,Greater Vancouver,170.0,125.0,25.0,20.0
59150164,59,Greater Vancouver,200.0,155.0,25.0,0.0
59150165,59,Greater Vancouver,125.0,85.0,0.0,15.0
59150166,59,Greater Vancouver,90.0,65.0,15.0,0.0
59150167,59,Greater Vancouver,190.0,170.0,10.0,10.0
